AI-Assitant,Description,Category,Link
Professor Edit,A professor aiding in research paper editing.,"Productivity, Market research",https://chat.openai.com/g/g-ZMWJ6RG8h-professor-edit
GPT Product Wizard,Use GPT Wizard's knowledge of the current GPT marketplace to innovate brand new GPT products.,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-QRKmBbtna-gpt-product-wizard
Allanon,Insightful editor & context-aware.,Productivity,https://chat.openai.com/g/g-W3vAaOXgK-allanon
Mr Nitpick,Detailed line editing with 30 years' experience.,Productivity,https://chat.openai.com/g/g-YaTKKqM0e-mr-nitpick
Green Thumb Guide,Your plant care assistant,Productivity,https://chat.openai.com/g/g-dg4AOrihK-green-thumb-guide
TheraGPT,A virtual CBT therapist that helps reframe thoughts.,Productivity,https://chat.openai.com/g/g-aU29QGK2D
UX Copywriter,I help you craft engaging UX copy.,"Marketing, Productivity",https://chat.openai.com/g/g-4VqF5ooPe-ux-copywriter
Resume GPT,Your personal AI assistant that helps you create a standout resume & cover letter,Productivity,https://chat.openai.com/g/g-km8YdADf5-resume-gpt
Pitch Perfect,Refines pitches with slide-specific advice,Sales,https://chat.openai.com/g/g-2NMuPwyCJ-pitch-perfect
Avian Advisor,Budgie's Specialist,Sales,https://chat.openai.com/g/g-IeITuaVok-avian-advisor
Churchill,Mentor in the style of Churchill,Business advice,https://chat.openai.com/g/g-qGjb928UA-churchill
Brain Feeder,I summarize and review books for you. Enter book name or upload a book cover picture.,Productivity,https://chat.openai.com/g/g-ou8mavYA6-brain-feeder
Image Wizard,I craft DALL-E image prompts.,Productivity,https://chat.openai.com/g/g-9Ty4A5nx7-image-wizard
No-Code News,Your source for no-code industry news powered by nocodeshots.com,Website,https://chat.openai.com/g/g-t2KCsqk91-no-code-news
Product Manager Bot,I help you become a better PM.,Productivity,https://chat.openai.com/g/g-sKi4RsTGe-product-manager-bot
Email Marketing Copywriter,Write powerful copy for e-commerce and lead gen email marketing campaigns.,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-ZLHiBVCh2-email-marketing-copywriter
Flick Fetcher,I find where to stream movies & their prices.,Website,https://chat.openai.com/g/g-4RVGNPRPs-flick-fetcher
VitaBot,Your personal supplement advisor GPT: Get evidence-based suggestions for energy; joint health; sleep and more based on your health needs,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-ekH6cn1Bg-vitabot-your-health-supplement-assistant
Product Reviewer,Shakespeare of e-commerce & delivering reviews that stick with you longer than your last online purchase.,"Sales, Marketing",https://chat.openai.com/g/g-jHTUcn2pD-product-reviewer
UBIK ads,Need a punchy jingle or a catchy phrase? UBIK ads is your go-to for creative zing that makes your product sing! Use only as inspired.,"Sales, Marketing",https://chat.openai.com/g/g-U5UeeL71C-ubik-ads
Compiler Expert,Expert in compiler techniques and frameworks.,Productivity,https://chat.openai.com/g/g-fiVC8nIlF-compiler-expert
Lean Larry,Startup guru for Early founders. Advice based on all-time-great books; such as Lean Startup / Blitzscaling / Innovator's Dilemma etc.,Business advice,https://chat.openai.com/g/g-BTK4aezYp-lean-larry
Idea Filter,I help founders filter and refine startup ideas.,"Business advice, Productivity",https://chat.openai.com/g/g-DBQCVcWQO-idea-filter
Jane the Storyteller,Motivation for Weight Loss. Narrative-driven coach for healthy living,Productivity,https://chat.openai.com/g/g-mYHhAwP6j-jane-the-storyteller-motivation-for-weight-loss
CustomGPTS,How to make a custom gpts? https://customgpts.net,Website,https://chat.openai.com/g/g-dGSHTQY69-customgpts
Board Game Architect,I help design custom board games with creative and practical advice.,Productivity,https://chat.openai.com/g/g-BnI7ER1db-board-game-architect
AI Pixar Poster,AI-generated posters with a Pixar-style aesthetic. https://aipixarposters.com,Website,https://chat.openai.com/g/g-pxCBbz3DD-ai-pixar-poster
Magic Writer,SEO-optimized Writer Buddy 💜 MagicSpace.agency,"Marketing, Productivity",https://chat.openai.com/g/g-I8xxsv76S-magic-writer
Design Mentor,A precise UI/UX and psychology expert.,Productivity,https://chat.openai.com/g/g-aQ2BRJZTV-ux-design-mentor
Flowbite GPT,Create websites using the UI components from Flowbite based on Tailwind CSS,"Website, Productivity",https://chat.openai.com/g/g-y7yC35HB9-flowbite-gpt
ChatPDF,Allows you to talk with PDFs.,Productivity,https://chat.openai.com/g/g-olgOvEhZK-chatpdf
Flight Finder,I find the best flight deals for your travels.,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-muQhztYsd-flight-finder
The IPO Strategy,Expert in IPO Strategy offers detailed guidance on business ideas/ market paths and opportunities. Created by Christopher Perceptions,"Business advice, Market research",https://chat.openai.com/g/g-Uc8qF4MMP-the-ipo-strategy
WebSweepGPT,Security advisor for web-applications and websites.,Website,https://chat.openai.com/g/g-yvIiLQIee-websweepgpt
CEO GPT,A concise mentor to startup CEOs offering wisdom from business icons,Business advice,https://chat.openai.com/g/g-EvV57BRZ0-ceo-gpt
YC Application GPT,This GPT automatically fills YC application for you based on website or Pitch Deck,Productivity,https://chat.openai.com/g/g-LYDRCiZB9-yc-application-gpt
Common Core Aligner,Align lessons to Common Core math standards,"Education, Productivity",https://chat.openai.com/g/g-0tVq6MK9W-common-core-aligner-math
NGSS Aligner,Align lessons to Next Generation Science Standards,Education,https://chat.openai.com/g/g-9iOnUNXBb-ngss-aligner
GPT Instructions Enhancer,Take your GPT instructions to the next level,Productivity,https://chat.openai.com/g/g-OjxgU717v-gpt-instructions-enhancer
Teaching Strategies Expert,I am here to guide you in developing effective teaching strategies. What are your teaching goals?,Productivity,https://chat.openai.com/g/g-6WD8GXTtB-teaching-strategies-expert
Study Coach,I am here to help you improve your study habits. What are your current study habits and challenges?,Productivity,https://chat.openai.com/g/g-ZjU7pUReE-study-coach
College Advisor,I am here to guide you in your college journey,Education,https://chat.openai.com/g/g-MaWDeKGUp-college-advisor
C4 Model Architect AI,A software architect for C4 Model generation.,Productivity,https://chat.openai.com/g/g-FRSQbUXgQ-c4-model-architect-ai
Common Core Aligner (ELA),Align lessons to Common Core ELA standards,Productivity,https://chat.openai.com/g/g-kLDFiNihQ-common-core-aligner-ela
Rubric Generator,I create custom rubrics for educators,Productivity,https://chat.openai.com/g/g-1hj9Vx2W0-rubric-generator
ZuckerBot,Guides in Facebook ad campaign creation; maintains strict confidentiality,Marketing,https://chat.openai.com/g/g-LK4paej6F-zuckerbot
Estimator,Assist PMs and POs in evaluating projects and generate user stories and use cases faster.,Productivity,https://chat.openai.com/g/g-hJh9ezLVr-estimator
AISimplifireGPT,Explains AI/ML in simple analogies with visuals.,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-2bPcY56Rf-simplicity-sage
Gift Guru,I suggest personalized Amazon gifts.,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-8DvUAUkvf-gift-guru
Paul Graham,Paul Graham Essay Advisor,Productivity,https://chat.openai.com/g/g-p2M4Atl3N-paul-graham
Revenue-driven SEO keyword research and analysis,Create a revenue-driven content calendar of topics based on the purchase conversion rates of past data provided by various websites,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-6DFOTUqUv-revenue-driven-seo-keyword-research-and-analysis
Circuit Sage,AI Expert in Electronics and Embedded Systems.,"Productivity, Business advice",https://chat.openai.com/g/g-sVPjCoAvZ-circuit-sage
LogoGPT,Designs personalized logos from sketches.,"Marketing, Productivity",https://chat.openai.com/g/g-z61XG6t54-logo-maker
Tappstr Article Writer,Craft compelling articles effortlessly with this expert tool for creating tailored; SEO-enhanced content.,"Marketing, Productivity, Website",https://chat.openai.com/g/g-0X0Brg7Q7-tappstr-article-writer
Sous Chef,I’ll give you recipes based on the foods you love and ingredients you have.,Productivity,https://chat.openai.com/g/g-3VrgJ1GpH-sous-chef
Realty Mentor,Help the user find properties for investment and provide real time market data.,"Sales, Marketing, Market research",https://chat.openai.com/g/g-Qj5T2L1qZ
Tech Support Advisor,From setting up a printer to troubleshooting a device; I’m here to help you step-by-step.,Productivity,https://chat.openai.com/g/g-WKIaLGGem-tech-support-advisor
The Negotiator,I'll help you advocate for yourself and get better outcomes. Become a great negotiator.,"Sales, Productivity",https://chat.openai.com/g/g-TTTAK9GuS-the-negotiator
SymfonyGPT,SymfonyGPT is your go-to colleague for PairProgramming sessions always ready to help!,Productivity,https://chat.openai.com/g/g-VyliDiSyc-symfonygpt
WallStreetGPT,Investment Assistant for everyone,"Sales, Marketing, Business advice",https://chat.openai.com/g/g-oGO8X6GK2-wallstreetgpt
FeedAI,Crafts social media posts & image descriptions.,Marketing,https://chat.openai.com/g/g-tfrp87hIt-feedai
TaxGPT,Tax advice specialist offering guidance on tax-related queries.,Business advice,https://chat.openai.com/g/g-cxe3Tq6Ha-taxgpt
RealtorGPT,Assistant for realtors / providing market insights and real estate tips,"Sales, Market research, Business advice",https://chat.openai.com/g/g-zH6crEIFZ-realtorgpt
Grimoire,Coding Wizard: 100x Engineer. Build a website with a sentence. Built for a new era of creativity: Prompt-gramming.,"Productivity, Website",https://chat.openai.com/g/g-n7Rs0IK86-grimoire
Build Buddy,Your DIY project assistant.,Productivity,https://chat.openai.com/g/g-miYavkQE3
Universal Primer,Learn everything about anything,"Productivity, Website",https://chat.openai.com/g/g-GbLbctpPz-universal-primer
SeniorDev,A seasoned JS full stack engineer for code review and mentorship.,Productivity,https://chat.openai.com/g/g-vMwvOqLPJ-seniordev
Startup Name Generator,I will create better startup names than your CEO.,"Marketing, Business advice",https://chat.openai.com/g/g-evJ22Dnnp-startup-name-generator
Auto Assistant,Used car purchase guide,"Sales, Productivity",https://chat.openai.com/g/g-xO21U2HtL-auto-assistant
GuestBook GPT,Leave a message for others to find... What will you say?,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-zAf7zBE8N-guestbook-gpt
App Inventor,Brief SAAS ideas with trend rating and MRR.,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-bJcJAmkUS-app-inventor
Career Coach,Expert career coach for job seekers.,Business advice,https://chat.openai.com/g/g-JqGGyR8EN-career-coach
Pair Programmer,Your programming AI assistant,Productivity,https://chat.openai.com/g/g-3Ogx49vEy-pair-programmer
Trend Tracker,Engaging and detailed social media trend analyst. Brought to you by Pixel Palette Nation🎨,"Marketing, Market research",https://chat.openai.com/g/g-OxdCNZRb0-trend-tracker
Nutrition Insight,Interactive nutritional guide with personalized advice and detailed calorie analysis.,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-v1bm9D38A-nutrition-insight
LifeAlign.ai,Clarify your goals into actionable plans with measurable metrics then export time blocks directly to your calendar.,Productivity,https://chat.openai.com/g/g-PqvMfdypm-lifealign-ai
Emotional Well-being Coach,I help organize your feelings when you're feeling unclear or frustrated etc and aware of important matters.,Productivity,https://chat.openai.com/g/g-nYGkHBoCo-emotional-well-being-coach
Creative Critique,Design and brand review expert with constructive feedback.,"Marketing, Productivity",https://chat.openai.com/g/g-g9A2JRdan-creative-critique
Flight Coach,Expert in flight training maneuvers for various aircraft. Your AI CFI.,Productivity,https://chat.openai.com/g/g-5i1eI9Ciy-flight-coach
Non-Fiction Grant Writer,Guiding filmmakers through documentary grants.,"Sales, Marketing",https://chat.openai.com/g/g-3CSmS7BXl-non-fiction-grant-writer
KidsStoryGPT,Children's storybook creator with text and illustration suggestions.,Productivity,https://chat.openai.com/g/g-PhwR1Gqoz-kidsstorygpt
ShortformGPT,I craft crisp / bullet-listed short-form content.,"Marketing, Productivity, Website",https://chat.openai.com/g/g-yvLDWqjfq-shortformgpt
EndlessIdeaGPT,Ideation assistant for targeted content creation. Endless,Productivity,https://chat.openai.com/g/g-STr77ZzyR-endlessideagpt
HumanWriterGPT,I create SEO-friendly; human-like articles based on your keywords / topic / outline etc,"Marketing, Productivity, Website",https://chat.openai.com/g/g-JBE7uEN9u-humanwritergpt
Dr. Nutritionist,I analyze your blood reports and give you dietary advice!,"Health, Wellness, and Dietary Advice.",https://chat.openai.com/g/g-BfsGer8XB-dr-nutritionist
AI news & features,I'm an AI news bot focusing on the latest AI apps like ChatGPT and Google Bard with a daily update priority.,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-Ft2u9p9PB-ai-news-features
Unit Test Buddy,Generates unit tests for code snippets in any programming language.,Productivity,https://chat.openai.com/g/g-lpxEyqF4f-unit-test-buddy
Code Review Assistant,A helpful assistant reviewing your code for various programming languages.,Productivity,https://chat.openai.com/g/g-F3dNa2gxP-code-review-assistant
Regex-Wizard,A specialist in crafting and explaining regex patterns.,Productivity,https://chat.openai.com/g/g-PstPW0Ufd-regex-wizarde
Unit Test Generator for Code,Provides complete unit test files for code blocks,Productivity,https://chat.openai.com/g/g-fAy3f4L1n-unit-test-generator-for-code-brewtest-co
Aws Guru,Your friendly coworker in AWS troubleshooting / offering precise / bullet-point advice.,Productivity,https://chat.openai.com/g/g-B5nNP7tuy-aws-guru
Image to Code GPT,Transforms images into complete web code; no assumptions.,Website,https://chat.openai.com/g/g-4Sves4vvr-image-to-code-gpt
SEO,Optimize Your Website for Search Engines,"Website, Marketing, Productivity",https://chat.openai.com/g/g-KfhLWQxTI-seo
AlphaNotes GPT,Transform YouTube videos or web articles into your personal study guide or study aids; making learning efficient and enjoyable.,Productivity,https://chat.openai.com/g/g-ZdfrSRAyo-alphanotes-gpt
Thread Weaver,Make engaging Twitter (X) threads from YouTube videos / articles or text. Generate engaging thumbnails based on your thread.,"Marketing, Productivity, Website",https://chat.openai.com/g/g-kROg0f5Tg-thread-weaver
Great Copywriter,Expert in persuasive writing tips.,Marketing,https://chat.openai.com/g/g-Mk1uaUGkI-great-copywriter
Homework Buddy,Ace those assignments with the help of your Study Pal!,Productivity,https://chat.openai.com/g/g-xKe4YdISG-homework-buddy
SEO Optimizer,I craft SEO magic for content!,"Marketing, Productivity",https://chat.openai.com/g/g-5AiElRJap-seo-optimizer
Midjourney Helper,Creates detailed Midjourney art prompts / Instagram captions and hashtags / optimized for easy copying.,Marketing,https://chat.openai.com/g/g-RJeBIeECR-midjourney-helper
Code Canvas,I turn code into art!,Productivity,https://chat.openai.com/g/g-ERJ8u4vC3-code-canvas
AutoTech Guide,Assists in activating vehicle features using diagnostic tools.,Productivity,https://chat.openai.com/g/g-bT1RmMAQN-autotech-guide
Webflow GPT,I am your expert for all things Webflow. I can help you with ideas debugging and more!,"Website, Productivity",https://chat.openai.com/g/g-z1NynBtmc-webflowgpt
Mixtape Magic,Create a mixtape inspired by anything with YouTube and Spotify links.,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-TyxU04lPM-mixtape-magic
GDPR Compliance,Your GDPR guide,Productivity,https://chat.openai.com/g/g-4YUPC9PXP-gdpr-compliance
Itinerary Planner - Globetrotter Guide,Experienced travel agent for personalized trip planning.,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-rlxtQxHxC-itinerary-planner-globetrotter-guide
Creative Writing Coach,I'm eager to read your work and give you feedback to improve your skills.,Productivity,https://chat.openai.com/g/g-lN1gKFnvL-creative-writing-coach
Site Harvester,Harvests or scrapes data from sites into specific formats or files,"Website, Productivity, Market research",https://chat.openai.com/g/g-rBMn76ydl-site-harvester
Career Sherpa,A career advisor that personalizes job applications.,Business advice,https://chat.openai.com/g/g-3eOPVN0DE-career-sherpa
Emblem Engineer,I create custom avatars from initials.,Website,https://chat.openai.com/g/g-cKtX2rCwP-emblem-engineer
VoiceScribe,I turn your spoken words into cool text.,Productivity,https://chat.openai.com/g/g-kEaoM49ks-voicescribe
SouthParkMe,Create a South Park-style character and a background story based off your photo upload.,"Based on their description, the AI-assistant should be categorized in 'Sales', 'Marketing', and 'Productivity'.",https://chat.openai.com/g/g-uZnmTo2Cv-southparkme
Tech Interview Preparation,Ace tech interviews with realistic mock sessions and friendly / detailed feedback.,Productivity,https://chat.openai.com/g/g-ly5pF0CNi-tech-interview-preparation
Anime Me,I turn photos into Anime-style art.,Website,https://chat.openai.com/g/g-hXlHRbEkS-anime-me
Air Fryer Chef,Expert in air fryer recipes with detailed nutritional and measurement info,Productivity,https://chat.openai.com/g/g-X7lB1U6qS-air-fryer-chef
Amazon Listing Wizard,I craft Amazon listings.,Sales,https://chat.openai.com/g/g-cyCdsDpO9-amazon-listing-wizard
Code Optimizer,I optimize code for better performance / primarily with respect to runtime. Input code!,Productivity,https://chat.openai.com/g/g-RixMr0ws1-code-optimizer
English/French translator,Translates English-French / corrects text and formats JSON.,Productivity,https://chat.openai.com/g/g-qGaZqb1KZ-english-french-translator
Shop App Store Listing Generator,Creates a Shopify App Store Listing With Icons,"Productivity, Website",https://chat.openai.com/g/g-UPPrOs4w7-shop-app-store-listing-generator
PowerBI GPT,A PowerBI Expert assisting with debugging / dashboard ideas and PowerBI service guidance.,Productivity,https://chat.openai.com/g/g-iA6FFkVTT-powerbi-gpt
i18n Locale JSON Translator GPT,Expert in i18n JSON content translation and localization.,Productivity,https://chat.openai.com/g/g-EYZToa8kZ-i18n-locale-json-translator-gpt
Sales Coach Pro AI,Your virtual sales coach,Sales,https://chat.openai.com/g/g-IYHZ38xyB-sales-coach-pro-ai
Product Hunt Launch Assistant,Guides makers in creating Product Hunt listings fast,Productivity,https://chat.openai.com/g/g-9W25m8Uog-product-hunt-launch-assistant
SwiftGPT,Swift/Apple SDKs guide,Productivity,https://chat.openai.com/g/g-oT0c0gghV-swiftgpt
Embedded Systems Guru,Embedded Systems Expert / aiding in chip/board selection and C++ code.,Productivity,https://chat.openai.com/g/g-QMETOVAO7-embedded-systems-guru
DevX,DevX: Advanced Tech Maestro,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-H9EhRVoVC-devx
Laravel GPT,A Laravel expert providing coding advice and solutions.,"Business advice, Productivity",https://chat.openai.com/g/g-XTOuIQ6Tz-laravel-gpt
Stock Guru,Expert financial analyst with concise reports.,"Business advice, Productivity",https://chat.openai.com/g/g-ZRkaqmDXo-stock-guru
Short Video Caption Generator,TikTok Caption Generator: based on millions of weekly updated viral videos / crafts engaging and viral captions for videos.,Marketing,https://chat.openai.com/g/g-6EgPVsOJl-short-video-caption-generator
QR Code Maker,A QR code generator for URLs / phone numbers / SMS / or text with display capabilities.,Website,https://chat.openai.com/g/g-P4s0EtG5y-qr-code-maker
Legal Eagle,Reviews legal documents and provides strategies and advice,Business advice,https://chat.openai.com/g/g-1mwgltAoG-legal-eagle
Reply to reviews assistant,I'm Claire your go-to expert for crafting thoughtful review responses.,"Sales, Marketing, Productivity",https://chat.openai.com/g/g-u7DVPR79z-reply-to-reviews-assistant
Mockup Creator,Streamlined mockup creation with automated user image analysis,Productivity,https://chat.openai.com/g/g-ANV4uJM2h-digital-design-mockup-creator
OCR,Extract text and content from images or PDF documents,Productivity,https://chat.openai.com/g/g-wETMBcESv-ocr
Website Analyzer,Analyzes and explains website performance / SEO and UX metrics / focusing on Web Vitals.,"Website, Productivity",https://chat.openai.com/g/g-53G4uH3XE-website-analyzer
YouTube Quiz Creator,Create a quiz from a YouTube video,Productivity,https://chat.openai.com/g/g-BQQgalseW-youtube-quiz-creator
YouTube Summarizer,Get summary of a YouTube video,Productivity,https://chat.openai.com/g/g-nv7yQCb53-youtube-summarizer
Marvyn,L'assistant VC analyste,Market research,https://chat.openai.com/g/g-qJFhOniM7-marvyn
"Alexhormozis Offer GPT""""",Evaluates offers like Alex Hormozi,Sales,https://chat.openai.com/g/g-xXmKOvykS-alexhormozis-offer-gpt
Homework Checker,An AI-Powered Tool for Detecting and Correcting Errors in Homework Problems,Productivity,https://chat.openai.com/g/g-PT8a97SQU-homework-checker
Hierarchy Navigator,If you crave a systematic approach to learning I'm your Knowledge Architect.,Productivity,https://chat.openai.com/g/g-idPG2SRKJ-hierarchy-navigator
Debate Mentor,Become a master debater with my guidance. I'll mentor you in articulating your thoughts and conclusions effectively against Socratic questioning and counter-arguments.,Productivity,https://chat.openai.com/g/g-KIX0IC8cj-debate-mentor
